season,title,author,performances
1773-1774,Zénéïde,Cahusac (Louis de),1
1774-1775,Zénéïde,Cahusac (Louis de),2
1775-1776,Zénéïde,Cahusac (Louis de),2
1776-1777,Zénéïde,Cahusac (Louis de),1
1778-1779,Zénéïde,Cahusac (Louis de),1
1779-1780,Zénéïde,Cahusac (Louis de),1
1782-1783,Zénéïde,Cahusac (Louis de),1
1785-1786,Zénéïde,Cahusac (Louis de),2
1788-1789,Zénéïde,Cahusac (Louis de),2
1791-1792,Zénéïde,Cahusac (Louis de),4
1782-1783,Les Journalistes anglais,Cailhava de L'Estandoux (Jean-François),6
1769-1770,Mariage interrompu (Le) ou La Fille supposée,Cailhava de L'Estandoux (Jean-François),6
1783-1784,Mariage interrompu (Le) ou La Fille supposée,Cailhava de L'Estandoux (Jean-François),10
1784-1785,Mariage interrompu (Le) ou La Fille supposée,Cailhava de L'Estandoux (Jean-François),1
1785-1786,Mariage interrompu (Le) ou La Fille supposée,Cailhava de L'Estandoux (Jean-François),3
1763-1764,Présomption à la mode (La),Cailhava de L'Estandoux (Jean-François),1
1765-1766,Tuteur dupé (Le) ou La Maison à deux portes,Cailhava de L'Estandoux (Jean-François),9
1773-1774,Tuteur dupé (Le) ou La Maison à deux portes,Cailhava de L'Estandoux (Jean-François),8
1774-1775,Tuteur dupé (Le) ou La Maison à deux portes,Cailhava de L'Estandoux (Jean-François),1
1777-1778,Tuteur dupé (Le) ou La Maison à deux portes,Cailhava de L'Estandoux (Jean-François),3
1778-1779,Tuteur dupé (Le) ou La Maison à deux portes,Cailhava de L'Estandoux (Jean-François),3
1779-1780,Tuteur dupé (Le) ou La Maison à deux portes,Cailhava de L'Estandoux (Jean-François),1
1782-1783,Tuteur dupé (Le) ou La Maison à deux portes,Cailhava de L'Estandoux (Jean-François),3
1777-1778,Égoïsme (L'),Cailhava de L'Estandoux (Jean-François),7
1785-1786,Égoïsme (L'),Cailhava de L'Estandoux (Jean-François),2
1786-1787,Égoïsme (L'),Cailhava de L'Estandoux (Jean-François),1
1768-1769,Étrennes de l’amour (Les),Cailhava de L'Estandoux (Jean-François),5
1769-1770,Étrennes de l’amour (Les),Cailhava de L'Estandoux (Jean-François),3
1773-1774,Étrennes de l’amour (Les),Cailhava de L'Estandoux (Jean-François),3
1777-1778,Étrennes de l’amour (Les),Cailhava de L'Estandoux (Jean-François),2
1689-1690,Adrien,Campistron (Jean Galbert de),7
1685-1686,Alcibiade,Campistron (Jean Galbert de),29
1686-1687,Alcibiade,Campistron (Jean Galbert de),9
1687-1688,Alcibiade,Campistron (Jean Galbert de),5
1688-1689,Alcibiade,Campistron (Jean Galbert de),6
1689-1690,Alcibiade,Campistron (Jean Galbert de),4
1690-1691,Alcibiade,Campistron (Jean Galbert de),4
1691-1692,Alcibiade,Campistron (Jean Galbert de),4
1692-1693,Alcibiade,Campistron (Jean Galbert de),5
1693-1694,Alcibiade,Campistron (Jean Galbert de),5
1694-1695,Alcibiade,Campistron (Jean Galbert de),7
1695-1696,Alcibiade,Campistron (Jean Galbert de),6
1696-1697,Alcibiade,Campistron (Jean Galbert de),3
1698-1699,Alcibiade,Campistron (Jean Galbert de),4
1699-1700,Alcibiade,Campistron (Jean Galbert de),2
1700-1701,Alcibiade,Campistron (Jean Galbert de),7
1701-1702,Alcibiade,Campistron (Jean Galbert de),6
1702-1703,Alcibiade,Campistron (Jean Galbert de),1
1703-1704,Alcibiade,Campistron (Jean Galbert de),3
1704-1705,Alcibiade,Campistron (Jean Galbert de),5
1705-1706,Alcibiade,Campistron (Jean Galbert de),1
1706-1707,Alcibiade,Campistron (Jean Galbert de),1
1709-1710,Alcibiade,Campistron (Jean Galbert de),4
1710-1711,Alcibiade,Campistron (Jean Galbert de),6
1711-1712,Alcibiade,Campistron (Jean Galbert de),4
1712-1713,Alcibiade,Campistron (Jean Galbert de),2
1713-1714,Alcibiade,Campistron (Jean Galbert de),1
1714-1715,Alcibiade,Campistron (Jean Galbert de),5
1715-1716,Alcibiade,Campistron (Jean Galbert de),1
1716-1717,Alcibiade,Campistron (Jean Galbert de),1
1717-1718,Alcibiade,Campistron (Jean Galbert de),1
1718-1719,Alcibiade,Campistron (Jean Galbert de),1
1725-1726,Alcibiade,Campistron (Jean Galbert de),3
1726-1727,Alcibiade,Campistron (Jean Galbert de),2
1735-1736,Alcibiade,Campistron (Jean Galbert de),7
1736-1737,Alcibiade,Campistron (Jean Galbert de),8
1738-1739,Alcibiade,Campistron (Jean Galbert de),4
1684-1685,Amante amant (L'),Campistron (Jean Galbert de),18
1684-1685,Andronic,Campistron (Jean Galbert de),21
1685-1686,Andronic,Campistron (Jean Galbert de),9
1686-1687,Andronic,Campistron (Jean Galbert de),8
1687-1688,Andronic,Campistron (Jean Galbert de),6
1688-1689,Andronic,Campistron (Jean Galbert de),4
1689-1690,Andronic,Campistron (Jean Galbert de),6
1690-1691,Andronic,Campistron (Jean Galbert de),4
1691-1692,Andronic,Campistron (Jean Galbert de),3
1692-1693,Andronic,Campistron (Jean Galbert de),5
1693-1694,Andronic,Campistron (Jean Galbert de),6
1694-1695,Andronic,Campistron (Jean Galbert de),4
1695-1696,Andronic,Campistron (Jean Galbert de),7
1696-1697,Andronic,Campistron (Jean Galbert de),8
1697-1698,Andronic,Campistron (Jean Galbert de),6
1698-1699,Andronic,Campistron (Jean Galbert de),6
1699-1700,Andronic,Campistron (Jean Galbert de),5
1700-1701,Andronic,Campistron (Jean Galbert de),3
1701-1702,Andronic,Campistron (Jean Galbert de),4
1702-1703,Andronic,Campistron (Jean Galbert de),4
1703-1704,Andronic,Campistron (Jean Galbert de),3
1704-1705,Andronic,Campistron (Jean Galbert de),3
1705-1706,Andronic,Campistron (Jean Galbert de),3
1706-1707,Andronic,Campistron (Jean Galbert de),5
1707-1708,Andronic,Campistron (Jean Galbert de),4
1708-1709,Andronic,Campistron (Jean Galbert de),1
1709-1710,Andronic,Campistron (Jean Galbert de),6
1710-1711,Andronic,Campistron (Jean Galbert de),2
1711-1712,Andronic,Campistron (Jean Galbert de),2
1713-1714,Andronic,Campistron (Jean Galbert de),4
1714-1715,Andronic,Campistron (Jean Galbert de),5
1715-1716,Andronic,Campistron (Jean Galbert de),2
1716-1717,Andronic,Campistron (Jean Galbert de),1
1717-1718,Andronic,Campistron (Jean Galbert de),4
1718-1719,Andronic,Campistron (Jean Galbert de),5
1719-1720,Andronic,Campistron (Jean Galbert de),4
1720-1721,Andronic,Campistron (Jean Galbert de),4
1721-1722,Andronic,Campistron (Jean Galbert de),1
1722-1723,Andronic,Campistron (Jean Galbert de),1
1723-1724,Andronic,Campistron (Jean Galbert de),2
1724-1725,Andronic,Campistron (Jean Galbert de),1
1725-1726,Andronic,Campistron (Jean Galbert de),5
1726-1727,Andronic,Campistron (Jean Galbert de),4
1727-1728,Andronic,Campistron (Jean Galbert de),1
1728-1729,Andronic,Campistron (Jean Galbert de),1
1729-1730,Andronic,Campistron (Jean Galbert de),6
1731-1732,Andronic,Campistron (Jean Galbert de),5
1732-1733,Andronic,Campistron (Jean Galbert de),3
1733-1734,Andronic,Campistron (Jean Galbert de),3
1734-1735,Andronic,Campistron (Jean Galbert de),2
1735-1736,Andronic,Campistron (Jean Galbert de),4
1736-1737,Andronic,Campistron (Jean Galbert de),5
1737-1738,Andronic,Campistron (Jean Galbert de),2
1738-1739,Andronic,Campistron (Jean Galbert de),2
1740-1741,Andronic,Campistron (Jean Galbert de),2
1742-1743,Andronic,Campistron (Jean Galbert de),2
1744-1745,Andronic,Campistron (Jean Galbert de),1
1750-1751,Andronic,Campistron (Jean Galbert de),2
1755-1756,Andronic,Campistron (Jean Galbert de),2
1757-1758,Andronic,Campistron (Jean Galbert de),2
1758-1759,Andronic,Campistron (Jean Galbert de),1
1759-1760,Andronic,Campistron (Jean Galbert de),2
1764-1765,Andronic,Campistron (Jean Galbert de),2
1683-1684,Arminius,Campistron (Jean Galbert de),14
1684-1685,Arminius,Campistron (Jean Galbert de),1
1685-1686,Arminius,Campistron (Jean Galbert de),2
1686-1687,Arminius,Campistron (Jean Galbert de),3
1688-1689,Arminius,Campistron (Jean Galbert de),2
1690-1691,Arminius,Campistron (Jean Galbert de),2
1691-1692,Arminius,Campistron (Jean Galbert de),1
1709-1710,Arminius,Campistron (Jean Galbert de),4
1692-1693,Aétius,Campistron (Jean Galbert de),13
1693-1694,Aétius,Campistron (Jean Galbert de),2
1709-1710,Jaloux désabusé (Le),Campistron (Jean Galbert de),12
1710-1711,Jaloux désabusé (Le),Campistron (Jean Galbert de),2
1712-1713,Jaloux désabusé (Le),Campistron (Jean Galbert de),5
1713-1714,Jaloux désabusé (Le),Campistron (Jean Galbert de),1
1724-1725,Jaloux désabusé (Le),Campistron (Jean Galbert de),10
1725-1726,Jaloux désabusé (Le),Campistron (Jean Galbert de),6
1726-1727,Jaloux désabusé (Le),Campistron (Jean Galbert de),8
1727-1728,Jaloux désabusé (Le),Campistron (Jean Galbert de),7
1728-1729,Jaloux désabusé (Le),Campistron (Jean Galbert de),4
1729-1730,Jaloux désabusé (Le),Campistron (Jean Galbert de),3
1730-1731,Jaloux désabusé (Le),Campistron (Jean Galbert de),7
1731-1732,Jaloux désabusé (Le),Campistron (Jean Galbert de),4
1732-1733,Jaloux désabusé (Le),Campistron (Jean Galbert de),1
1733-1734,Jaloux désabusé (Le),Campistron (Jean Galbert de),2
1734-1735,Jaloux désabusé (Le),Campistron (Jean Galbert de),3
1735-1736,Jaloux désabusé (Le),Campistron (Jean Galbert de),1
1736-1737,Jaloux désabusé (Le),Campistron (Jean Galbert de),1
1737-1738,Jaloux désabusé (Le),Campistron (Jean Galbert de),1
1738-1739,Jaloux désabusé (Le),Campistron (Jean Galbert de),2
1740-1741,Jaloux désabusé (Le),Campistron (Jean Galbert de),4
1741-1742,Jaloux désabusé (Le),Campistron (Jean Galbert de),3
1742-1743,Jaloux désabusé (Le),Campistron (Jean Galbert de),3
1748-1749,Jaloux désabusé (Le),Campistron (Jean Galbert de),3
1750-1751,Jaloux désabusé (Le),Campistron (Jean Galbert de),2
1754-1755,Jaloux désabusé (Le),Campistron (Jean Galbert de),2
1755-1756,Jaloux désabusé (Le),Campistron (Jean Galbert de),2
1756-1757,Jaloux désabusé (Le),Campistron (Jean Galbert de),2
1758-1759,Jaloux désabusé (Le),Campistron (Jean Galbert de),2
1759-1760,Jaloux désabusé (Le),Campistron (Jean Galbert de),3
1761-1762,Jaloux désabusé (Le),Campistron (Jean Galbert de),2
1762-1763,Jaloux désabusé (Le),Campistron (Jean Galbert de),3
1763-1764,Jaloux désabusé (Le),Campistron (Jean Galbert de),2
1764-1765,Jaloux désabusé (Le),Campistron (Jean Galbert de),2
1765-1766,Jaloux désabusé (Le),Campistron (Jean Galbert de),3
1766-1767,Jaloux désabusé (Le),Campistron (Jean Galbert de),3
1767-1768,Jaloux désabusé (Le),Campistron (Jean Galbert de),1
1768-1769,Jaloux désabusé (Le),Campistron (Jean Galbert de),1
1769-1770,Jaloux désabusé (Le),Campistron (Jean Galbert de),3
1770-1771,Jaloux désabusé (Le),Campistron (Jean Galbert de),2
1771-1772,Jaloux désabusé (Le),Campistron (Jean Galbert de),3
1772-1773,Jaloux désabusé (Le),Campistron (Jean Galbert de),4
1773-1774,Jaloux désabusé (Le),Campistron (Jean Galbert de),3
1774-1775,Jaloux désabusé (Le),Campistron (Jean Galbert de),5
1775-1776,Jaloux désabusé (Le),Campistron (Jean Galbert de),1
1776-1777,Jaloux désabusé (Le),Campistron (Jean Galbert de),1
1778-1779,Jaloux désabusé (Le),Campistron (Jean Galbert de),2
1780-1781,Jaloux désabusé (Le),Campistron (Jean Galbert de),3
1792-1793,Jaloux désabusé (Le),Campistron (Jean Galbert de),4
1688-1689,Phocion,Campistron (Jean Galbert de),11
1686-1687,Phraate,Campistron (Jean Galbert de),2
1687-1688,Phraate,Campistron (Jean Galbert de),1
1690-1691,Tiridate,Campistron (Jean Galbert de),23
1691-1692,Tiridate,Campistron (Jean Galbert de),10
1692-1693,Tiridate,Campistron (Jean Galbert de),6
1693-1694,Tiridate,Campistron (Jean Galbert de),3
1694-1695,Tiridate,Campistron (Jean Galbert de),7
1695-1696,Tiridate,Campistron (Jean Galbert de),2
1696-1697,Tiridate,Campistron (Jean Galbert de),4
1697-1698,Tiridate,Campistron (Jean Galbert de),4
1698-1699,Tiridate,Campistron (Jean Galbert de),5
1699-1700,Tiridate,Campistron (Jean Galbert de),3
1700-1701,Tiridate,Campistron (Jean Galbert de),2
1702-1703,Tiridate,Campistron (Jean Galbert de),4
1703-1704,Tiridate,Campistron (Jean Galbert de),2
1704-1705,Tiridate,Campistron (Jean Galbert de),2
1727-1728,Tiridate,Campistron (Jean Galbert de),13
1733-1734,Tiridate,Campistron (Jean Galbert de),3
1682-1683,Virginie,Campistron (Jean Galbert de),10
1683-1684,Virginie,Campistron (Jean Galbert de),1
1684-1685,Virginie,Campistron (Jean Galbert de),1
1790-1791,Mari directeur ou le Déménagement du couvent (Le),Carbon de Flins Des Oliviers (Claude-Marie-Louis-Emmanuel),3
1791-1792,Mari directeur ou le Déménagement du couvent (Le),Carbon de Flins Des Oliviers (Claude-Marie-Louis-Emmanuel),3
1789-1790,Réveil d'Épiménide à Paris (Le),Carbon de Flins Des Oliviers (Claude-Marie-Louis-Emmanuel),17
1790-1791,Réveil d'Épiménide à Paris (Le),Carbon de Flins Des Oliviers (Claude-Marie-Louis-Emmanuel),12
1791-1792,Réveil d'Épiménide à Paris (Le),Carbon de Flins Des Oliviers (Claude-Marie-Louis-Emmanuel),3
1720-1721,Comtesse de Follenville (La),"Carcavy (Charles-Alexandre, abbé)",4
1737-1738,Lysimachus,Caux de Montlebert (Gilles de),4
1715-1716,Marius,Caux de Montlebert (Gilles de),7
1755-1756,Marius,Caux de Montlebert (Gilles de),3
1788-1789,Marius,Caux de Montlebert (Gilles de),8
1789-1790,Marius,Caux de Montlebert (Gilles de),2
1790-1791,Marius,Caux de Montlebert (Gilles de),1
1788-1789,Faux noble (Le),Chabanon (Michel Paul Guy de),1
1762-1763,Éponine,Chabanon (Michel Paul Guy de),2
1721-1722,Coriolan,Chaligny des Plaines (François de),1
1764-1765,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),9
1770-1771,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),7
1771-1772,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),2
1772-1773,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),1
1773-1774,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),3
1775-1776,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),4
1776-1777,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),3
1777-1778,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),3
1778-1779,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),2
1779-1780,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),6
1780-1781,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),7
1781-1782,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),2
1782-1783,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),6
1783-1784,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),8
1784-1785,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),8
1785-1786,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),6
1786-1787,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),4
1787-1788,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),6
1788-1789,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),4
1789-1790,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),4
1790-1791,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),4
1791-1792,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),5
1792-1793,Jeune indienne (La),Chamfort (Sébastien-Roch-Nicolas de),6
1769-1770,Marchand de Smyrne (Le),Chamfort (Sébastien-Roch-Nicolas de),13
1771-1772,Marchand de Smyrne (Le),Chamfort (Sébastien-Roch-Nicolas de),6
1772-1773,Marchand de Smyrne (Le),Chamfort (Sébastien-Roch-Nicolas de),1
1774-1775,Marchand de Smyrne (Le),Chamfort (Sébastien-Roch-Nicolas de),2
1775-1776,Marchand de Smyrne (Le),Chamfort (Sébastien-Roch-Nicolas de),3
1777-1778,Marchand de Smyrne (Le),Chamfort (Sébastien-Roch-Nicolas de),2
1778-1779,Marchand de Smyrne (Le),Chamfort (Sébastien-Roch-Nicolas de),2
1779-1780,Marchand de Smyrne (Le),Chamfort (Sébastien-Roch-Nicolas de),7
1780-1781,Marchand de Smyrne (Le),Chamfort (Sébastien-Roch-Nicolas de),4
1781-1782,Marchand de Smyrne (Le),Chamfort (Sébastien-Roch-Nicolas de),5
1782-1783,Marchand de Smyrne (Le),Chamfort (Sébastien-Roch-Nicolas de),4
1783-1784,Marchand de Smyrne (Le),Chamfort (Sébastien-Roch-Nicolas de),6
1784-1785,Marchand de Smyrne (Le),Chamfort (Sébastien-Roch-Nicolas de),7
1785-1786,Marchand de Smyrne (Le),Chamfort (Sébastien-Roch-Nicolas de),4
1786-1787,Marchand de Smyrne (Le),Chamfort (Sébastien-Roch-Nicolas de),7
1787-1788,Marchand de Smyrne (Le),Chamfort (Sébastien-Roch-Nicolas de),4
1788-1789,Marchand de Smyrne (Le),Chamfort (Sébastien-Roch-Nicolas de),6
1789-1790,Marchand de Smyrne (Le),Chamfort (Sébastien-Roch-Nicolas de),5
1790-1791,Marchand de Smyrne (Le),Chamfort (Sébastien-Roch-Nicolas de),5
1791-1792,Marchand de Smyrne (Le),Chamfort (Sébastien-Roch-Nicolas de),1
1792-1793,Marchand de Smyrne (Le),Chamfort (Sébastien-Roch-Nicolas de),3
1777-1778,Mustapha et Zéangir,Chamfort (Sébastien-Roch-Nicolas de),15
1680-1681,Bassette (La),Champmeslé (Charles Chevillet dit),8
1683-1684,Divorce (Le),Champmeslé (Charles Chevillet dit),7
1681-1682,Fragments de Molière (Les),Champmeslé (Charles Chevillet dit),3
1683-1684,Fragments de Molière (Les),Champmeslé (Charles Chevillet dit),4
1684-1685,Fragments de Molière (Les),Champmeslé (Charles Chevillet dit),9
1686-1687,Fragments de Molière (Les),Champmeslé (Charles Chevillet dit),4
1687-1688,Fragments de Molière (Les),Champmeslé (Charles Chevillet dit),4
1688-1689,Fragments de Molière (Les),Champmeslé (Charles Chevillet dit),4
1689-1690,Fragments de Molière (Les),Champmeslé (Charles Chevillet dit),4
1690-1691,Fragments de Molière (Les),Champmeslé (Charles Chevillet dit),2
1691-1692,Fragments de Molière (Les),Champmeslé (Charles Chevillet dit),4
1692-1693,Fragments de Molière (Les),Champmeslé (Charles Chevillet dit),3
1693-1694,Fragments de Molière (Les),Champmeslé (Charles Chevillet dit),3
1694-1695,Fragments de Molière (Les),Champmeslé (Charles Chevillet dit),2
1695-1696,Fragments de Molière (Les),Champmeslé (Charles Chevillet dit),1
1697-1698,Fragments de Molière (Les),Champmeslé (Charles Chevillet dit),3
1698-1699,Fragments de Molière (Les),Champmeslé (Charles Chevillet dit),3
1699-1700,Fragments de Molière (Les),Champmeslé (Charles Chevillet dit),4
1700-1701,Fragments de Molière (Les),Champmeslé (Charles Chevillet dit),4
1701-1702,Fragments de Molière (Les),Champmeslé (Charles Chevillet dit),5
1681-1682,Grisettes ou Crispin chevalier (Les),Champmeslé (Charles Chevillet dit),8
1683-1684,Grisettes ou Crispin chevalier (Les),Champmeslé (Charles Chevillet dit),2
1684-1685,Grisettes ou Crispin chevalier (Les),Champmeslé (Charles Chevillet dit),3
1686-1687,Grisettes ou Crispin chevalier (Les),Champmeslé (Charles Chevillet dit),1
1682-1683,Joueurs (Les),Champmeslé (Charles Chevillet dit),9
1683-1684,Joueurs (Les),Champmeslé (Charles Chevillet dit),3
1681-1682,Parisien (Le),Champmeslé (Charles Chevillet dit),13
1682-1683,Parisien (Le),Champmeslé (Charles Chevillet dit),5
1683-1684,Parisien (Le),Champmeslé (Charles Chevillet dit),4
1684-1685,Parisien (Le),Champmeslé (Charles Chevillet dit),4
1685-1686,Parisien (Le),Champmeslé (Charles Chevillet dit),3
1686-1687,Parisien (Le),Champmeslé (Charles Chevillet dit),1
1687-1688,Parisien (Le),Champmeslé (Charles Chevillet dit),5
1688-1689,Parisien (Le),Champmeslé (Charles Chevillet dit),4
1689-1690,Parisien (Le),Champmeslé (Charles Chevillet dit),2
1690-1691,Parisien (Le),Champmeslé (Charles Chevillet dit),3
1691-1692,Parisien (Le),Champmeslé (Charles Chevillet dit),2
1693-1694,Parisien (Le),Champmeslé (Charles Chevillet dit),2
1695-1696,Parisien (Le),Champmeslé (Charles Chevillet dit),4
1696-1697,Parisien (Le),Champmeslé (Charles Chevillet dit),1
1703-1704,Parisien (Le),Champmeslé (Charles Chevillet dit),2
1724-1725,Parisien (Le),Champmeslé (Charles Chevillet dit),2
1682-1683,Rue Saint-Denis (La),Champmeslé (Charles Chevillet dit),8
1699-1700,Veuve (La),Champmeslé (Charles Chevillet dit),7
1755-1756,Astyanax,Châteaubrun (Jean-Baptiste Vivien de),1
1714-1715,Mahomet second,Châteaubrun (Jean-Baptiste Vivien de),12
1754-1755,Philoctète,Châteaubrun (Jean-Baptiste Vivien de),6
1755-1756,Philoctète,Châteaubrun (Jean-Baptiste Vivien de),10
1753-1754,Troyennes (Les),Châteaubrun (Jean-Baptiste Vivien de),9
1754-1755,Troyennes (Les),Châteaubrun (Jean-Baptiste Vivien de),5
1755-1756,Troyennes (Les),Châteaubrun (Jean-Baptiste Vivien de),1
1758-1759,Troyennes (Les),Châteaubrun (Jean-Baptiste Vivien de),1
1759-1760,Troyennes (Les),Châteaubrun (Jean-Baptiste Vivien de),6
1769-1770,Troyennes (Les),Châteaubrun (Jean-Baptiste Vivien de),4
1783-1784,Troyennes (Les),Châteaubrun (Jean-Baptiste Vivien de),4
1786-1787,Azémire,Chénier (Marie-Joseph de),1
1787-1788,Azémire,Chénier (Marie-Joseph de),3
1789-1790,Charles IX ou l'École des rois,Chénier (Marie-Joseph de),31
1790-1791,Charles IX ou l'École des rois,Chénier (Marie-Joseph de),5
1785-1786,Edgar ou le Page supposé,Chénier (Marie-Joseph de),1
1791-1792,Pauline,"Claret de Fleurieu (Aglaé Deslacs, comtesse)",3
1778-1779,Médée,Clément (Jean Marie Bernard),1
1757-1758,Astarbé,Colardeau (Charles-Pierre),5
1758-1759,Astarbé,Colardeau (Charles-Pierre),5
1760-1761,Caliste,Colardeau (Charles-Pierre),10
1781-1782,Caliste,Colardeau (Charles-Pierre),3
1775-1776,Abdolonime ou le Roi berger,Collet de Messine (Jean-Baptiste),3
1758-1759,Île déserte (L'),Collet de Messine (Jean-Baptiste),11
1761-1762,Île déserte (L'),Collet de Messine (Jean-Baptiste),3
1762-1763,Île déserte (L'),Collet de Messine (Jean-Baptiste),3
1763-1764,Île déserte (L'),Collet de Messine (Jean-Baptiste),4
1765-1766,Île déserte (L'),Collet de Messine (Jean-Baptiste),2
1772-1773,Île déserte (L'),Collet de Messine (Jean-Baptiste),1
1773-1774,Île déserte (L'),Collet de Messine (Jean-Baptiste),2
1788-1789,Île déserte (L'),Collet de Messine (Jean-Baptiste),5
1788-1789,Châteaux en Espagne (Les),Collin d'Harleville (Jean-François),7
1789-1790,Châteaux en Espagne (Les),Collin d'Harleville (Jean-François),6
1786-1787,Inconstant (L'),Collin d'Harleville (Jean-François),15
1787-1788,Inconstant (L'),Collin d'Harleville (Jean-François),5
1788-1789,Inconstant (L'),Collin d'Harleville (Jean-François),3
1789-1790,Inconstant (L'),Collin d'Harleville (Jean-François),3
1790-1791,Inconstant (L'),Collin d'Harleville (Jean-François),3
1791-1792,Inconstant (L'),Collin d'Harleville (Jean-François),3
1792-1793,Inconstant (L'),Collin d'Harleville (Jean-François),1
1790-1791,Monsieur de Crac dans son petit castel ou les Gascons,Collin d'Harleville (Jean-François),10
1792-1793,Monsieur de Crac dans son petit castel ou les Gascons,Collin d'Harleville (Jean-François),14
1787-1788,Optimiste ou l'Homme content de tout (L'),Collin d'Harleville (Jean-François),5
1788-1789,Optimiste ou l'Homme content de tout (L'),Collin d'Harleville (Jean-François),24
1789-1790,Optimiste ou l'Homme content de tout (L'),Collin d'Harleville (Jean-François),4
1790-1791,Optimiste ou l'Homme content de tout (L'),Collin d'Harleville (Jean-François),4
1791-1792,Optimiste ou l'Homme content de tout (L'),Collin d'Harleville (Jean-François),11
1792-1793,Optimiste ou l'Homme content de tout (L'),Collin d'Harleville (Jean-François),1
1791-1792,Vieux célibataire (Le),Collin d'Harleville (Jean-François),8
1792-1793,Vieux célibataire (Le),Collin d'Harleville (Jean-François),14
1789-1790,Il y a une bonne justice ou le Paysan magistrat,Collot d'Herbois,5
1762-1763,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),17
1763-1764,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),5
1764-1765,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),4
1765-1766,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),9
1766-1767,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),4
1767-1768,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),9
1768-1769,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),6
1769-1770,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),3
1770-1771,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),6
1771-1772,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),2
1772-1773,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),3
1773-1774,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),3
1774-1775,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),2
1775-1776,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),2
1776-1777,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),2
1777-1778,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),4
1779-1780,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),3
1780-1781,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),2
1781-1782,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),2
1782-1783,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),2
1783-1784,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),3
1784-1785,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),2
1785-1786,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),5
1786-1787,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),5
1787-1788,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),3
1788-1789,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),1
1790-1791,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),3
1791-1792,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais,Collé (Charles),3
