performances,author
4,Moncrif (François-Augustin Paradis de)
4,Moline (Pierre-Louis)
4,Louvet
4,Fournelle (Jean-Nicolas)
4,Dufrénoy (Adélaïde-Gillette Billet)
3,"Longchamp (Charlotte Legrand, épouse Pitel de)"
3,Bellecour
3,Valois d'Orville (Adrien-Joseph de) ; Dubois
3,Gouges (Olympe de)
3,Cérou (Pierre)
3,Dubois-Fontanelle (Joseph-Gaspard)
3,Molé (François-René)
3,Chabanon (Michel Paul Guy de)
3,"Boyer (Claude, abbé) ; Le Clerc (Michel)"
3,"Du Roullet (François-Louis Gand Le Bland, bailli)"
3,Riouffé (Honoré)
3,Villemain d'Abancourt (François-Jean)
3,Avisse (Étienne-François)
3,"Bernis (François-Joachim de Pierres, cardinal de)"
3,"Claret de Fleurieu (Aglaé Deslacs, comtesse)"
2,Martel
2,Montauban (Jacques Pousset de)
2,Pousset de Montauban (Jacques)
2,Landois (Paul)
2,Beauharnais (Fanny de)
2,La Morlière (Jacques Rochette de)
2,Sablier (Charles)
2,Peyraud de Beaussol
2,Alliot
2,Bonnet de Chemillin (Abbé)
1,Lemercier (Népomucène-Louis)
1,Montanclos (Marie-Émilie de)
1,"Montesson (Charlotte-Jeanne Béraud de La Haie de Riou, comtesse de)"
1,Morandet
1,Falconnet (Françoise-Cécile)
1,Laus de Boissy (Louis de)
1,Lourdet de Santerre (Jean-Baptiste)
1,Parmentier 
1,Dufaut
1,Dubois de Rochefort (Guillaume)
1,L'Affichard (Thomas); Allainval (Léonor-Jean-Christine Soulas d')
1,Portelance (Michel)
1,La Chazette (de)
1,"Delorme (Madame, pseudonyme de Marc-Antoine Legrand)"
1,Dancourt (Louis Hurtaut)
1,Voiron
1,Lemonnier (Pierre-René)
1,Renou (Antoine)
1,Clément (Jean Marie Bernard)
1,"Genlis (Stéphanie-Félicité du Crest, comtesse de)"
1,Richerolle d'Avallon
1,Chaligny des Plaines (François de)
1,Robert
1,Ronsin (Charles-Philippe)
1,Le Noble (Eustache
1,Beaugeard (Jean-Simon Férréol)
1,Simon (Claude-François)
1,Simon-Chauvot
1,Landon (Joseph)
1,Subligny (Adrien-Thomas Perdou de)
1,Bastide (Jean-François de)
1,"Thibouville (Henri Lambert d'Herbigny, marquis de)"
1,Lattaignant de Bainville
1,Vadé (Jean-Joseph)
1,Marin (François-Louis-Claude)
1,Grouvelle (Philippe-Antoine)
1,Marignié (Jean-Étienne-François)
